tweet,sentiment
RT jagritysablok Indian Muslims saying need Arabs International Community Messiah keep mi,positive
RT AparBharat With several reports last two years proved Rakesh Asthana honest officer worked several anti cor,neutral
RT iRahulSahu Here BJP Modi gt VHP Bajrang dal systematically pruned gt Hindus lost first line defence What,positive
RT JatinSShah DostKhan Jammu narendramodi AmitShah Shah modi loosing aura prestige Kafi daag Besides kashmir mistakes,negative
RT narendramodi Some Of The RW Supporters Are So Insecure That All They Do Is Get Up Everyday amp Bash Modi amp Blame Him Continuously For,neutral
RT UmarFarookh LadyVelvet HFQ malik welkin Modi ji gives lot knowledge action time comes wears silence Will,neutral
Cow Momma Is Modi going address nation May,neutral
RT Mazharfarooqui UAE based Indian businessman Yusuff Ali Lulu Group far donated Rs crores COVID relief including Rs,neutral
RT digvijaya Swati understand Modi Shah different Agenda till BJP CM MP sworn,positive
RT ProfSRK HarishK HIMESH SS mattarhegde YashpalBJP BJP Udupi BJP UttarKannad DheerajGbc Harvansh Batra VictoryForNamo,positive
RT MahilaCongress On National Panchayati Raj Divas PM Modi interact anyone Rajasthan laid foundation P,positive
RT INCTelangana Spain many cases people got infected went view football match amp inturn spread M,neutral
RT SpiritOfCongres Indian migrants went gulf countries struggling without income amp food lockdown imposition,neutral
India Policy My understanding failed I always assumed Bjp govt tag gujarat model behind modi spurt growth Indian infrastructure We served cocktail nationalism plus socialism Dont know turn capitalist society,negative
RT M PRACHA Meanwhile narendramodi Govt highest officials busy propagation maliciously false narrative JAMATI,negative
I salute every village villager inspiring millions people across world small message Your message maintain yards distance simplest means fight COVID contain pandemic Watch Hon ble Prime Minister Narendra Modi talk,negative
RT Sandeep Saurav Booking students UAPA shows anti student Modi regime Anyone remains silent anti stu,neutral
RT swamy modi elections CM General Elections convincing margins years He without support,positive
rvaidya Brilliant decision Modi Govt,neutral
RT Fatima Z hra Mostly India rich upper class Muslims live bubble either ignore community become govt stooges amp,neutral
RT Mehboobp The Congress Model Is appreciated world Still time PM modi must learn Congress state CMs,negative
RT swamy modi elections CM General Elections convincing margins years He without support,positive
RT VinayDokania Dr Manmohan Singh RahulGandhi Slam Modi Government MonthLockdownWithoutPlan https co RmBcORtNc,negative
RT NehruWho Modi single handedly responsible maximum spread Clvid head state feb Namaste Trump lacs c,positive
RT bainjal Does Bjp still want Sonia Gandhi speak Modi tell us sadhu lynchers Bjp office bearers,positive
RT myogiadityanath Over Indians trust Hon PM Shri narendramodi ji handle COVID crisis well Number people laid trust,neutral
The anti national Modi govt decides commercially export hydroxychlorquine Trump pressure Meanwhile arrests activists branding anti nationals FightCoronaNotActivists,negative
RT mariawirth nothing wrong praising Merkel dwnews ever praise Modi Y day praised China Taiwan Vietnam ignored I,neutral
INCIndia Make video like Testing done India countries amp play voice vids BJP Modi govts lies testing https co XwVZDJGo,negative
RT GlobalMuslim MJALSHRIKA NitishKumar Dear NitishKumar ji This kind barbarity watch dent image wider,neutral
RT digvijaya Pt Nehru Visionary believed Science Scientific Temper Myth Mythology That People,positive
RT seriousfunnyguy Spot ONE person picture would clapped balcony lit diya Modi call Lockdown,negative
RT kirti sd Migrants forced walk hundreds miles While lockdown looks wasted cud expected Modi govt build,neutral
RT seriousfunnyguy Spot ONE person picture would clapped balcony lit diya Modi call Lockdown,negative
narendramodi Use technology impressive proud feeling truly set example youth countries apps helpful taughful Thanku modi ji IndiaWithPmModi https co xpiHsTxZTf,negative
RT DoctorFunnyBone pokershash VHPDigital RSSorg RSS amp VHP sold balls Arab Modi appeasement politics get,positive
RT arifaajakia A caring Hindustani https co lZC k OK,neutral
RT DrlathaC Hindus voted Modi BJP celebrated Ugadi Ram Navami minimal groceries flowers veggies Hail secu,positive
RT TrizaChaudhary We lucky PM like Modi Ji IndiaWithPmModi https co ocb R Rzgx,positive
RT manmohansingh INCIndia Congress President Smt Sonia Gandhi writes PM Modi grave economic crisis facing nation She r,positive
shrinath SumitNitian chitrapadhi Swamy If SC allotted acres everything WAS decided SC dont prance around claiming Modi got Ram mandir built And If Modi role getting Ram Mandir built escape blame FROM RESURRECTING BABRI BETRAYAL OF MARTYR KAR SEWAKS gary agg madhukishwar hesivh,positive
RT AdityaRajKaul Good news Gulf Countries assured India let fake tweets create discord relations PM Narend,positive
RT iSinghApurva I stand PM Modi IndiaWithPmModi https co wMxLAdyD f,negative
Difference lack vision amp authority MMS Story biases Covid huge world pandemic dimension scale unprecedented still early days,neutral
RT IYC Congress President Smt Sonia Gandhi written PM Modi concerning economic crisis country Sonia ji offer fiv,positive
alnassar kw sir whole world quiet one want issue powerful statement coz many countries invest ppl frm india countries muslims speak india till last breath modi terrorist,negative
RT INCMaharashtra Modi Govt ministers shying press conference far Covid answer questions failures Their view,positive
RT iSinghApurva I stand PM Modi IndiaWithPmModi https co wMxLAdyD f,negative
Madam SoniaGandhi right hawabazi ok economy runs money appeal modi msme https co qECEgNqqOs,neutral
RT DesiStupides Modi India Understood,positive
RT AdityaRajKaul Good news Gulf Countries assured India let fake tweets create discord relations PM Narend,positive
AudaciousQuest Aunty keep dreaming happen end day wants modi middle every thing vegetables blame modi cable blame modi milk blame modi bull shot mindset,neutral
RT TheOliveKnife In last years words said people I know Narendra Modi Amit Shah Ajit Doval Gaurav Pradhan,positive
bapu caa many schemes thing sure u made mind matter modi bjp muslims always critisize islamophobia butr definitely hinduphobia nd written quran,neutral
HA birds upsidedown barbet BOIDS taiwan LEARN modi coronavirus MORE diplomacy business relations w small DEMOCRACY LESS w terrorist pakistan ENABLING tibet ENSLAVING war china xijinping START makeinindia SOMETHING narendramodi OPPORTUNITY https co oyKUhlc L,negative
RT digvijaya Would Narendra Modi Please Care Answer Some Questions About PM CARES As far attitude Modi concerned th,positive
RT AisaLucknow People afraid governments Governments afraid people Expose hate project Mod,neutral
RT nadeeminc Congress President Smt Sonia Gandhi Ji written letter PM Modi grave economic concerns confronts MS,neutral
RT SitaramYechury That Modi destroyed healthcare Gujarat fact established beyond doubt,neutral
RT madhuparna N How Bengal Covid toll went nearly times hours Modi govt probe https co ba zicfGL,negative
RT srivatsayb BJP office bearers Ishwar Bandhu Nikole amp Bhau Sathe arrested Palghar lynching case Does BJP lapdog Arnab,negative
RT iGyanendraGiri When people get call PM Narendra Modi ji enquiring health IndiaWithPmModi https co ydd WfZkVt,negative
RT NehruWho Modi single handedly responsible maximum spread Clvid head state feb Namaste Trump lacs c,positive
RT newslaundry We new NLSena project PM Modi plan redesign Delhi Central Vista stirred hornet nest But,positive
ABPNews Modi planned asked crona bhai kitne din chaloge kaha kaha jaoge kitne log maroge,neutral
RT iRahulSahu Here BJP Modi gt VHP Bajrang dal systematically pruned gt Hindus lost first line defence What,positive
RT India Policy After Indira Gandhi Narendra Modi Govt anti Business anti Entrepreneurship Govt ever,positive
KUMARAN Saw But attacking Modi,neutral
RT EconomicTimes PM Modi made point week make short phone calls lasting minutes daily veteran leaders,positive
When kashmir lockdown almost months saudi time busy giving award modi government And exposing RSS,neutral
RT CMShehbaz Shameful Modi weaponised pandemic target Muslims India Holding Muslim community responsible,positive
RT Ekta Modi government brings safety net Corona Warriors Attacks life saviours tolerated Ordinance pr,positive
RT withWitVits reporters co Modi G already knew leaked already executed plan blame Muslims https,neutral
RT jigneshmevani Every year see floods completely destroy states air pollution ruin lives much north india amp Yet M,neutral
RT India Policy After Indira Gandhi Narendra Modi Govt anti Business anti Entrepreneurship Govt ever,positive
RT iSurjeetSharma A amp Is Abrogated Ram Mandir Issue Is Resolved CAA Is Being Implemented Islam c Network Busted Kashmir Surg,negative
RT AneraoKailash Development planned without biodiversity loss PM Modi chairs National Board Wildlife convened,positive
RT yehlog Interestingly Gulf episode triggered BJP IT Cell Among ramped hate people followed,positive
Who choice modi Rahul sir Like Rahul sir retweet modi https co ETey N,negative
narendramodi Honourable prime minister sri narendra modi I respect decision obey rule I hope pandemic covid demoted soon Sir I request one thing diseases relate religion effect impacting neighbouring,negative
What answer Jyothika questions Was Jyotika Goma stage Modi govt spent crores establish statue Patel https co jmM TXW I,negative
RT jagritysablok Indian Muslims saying need Arabs International Community Messiah keep mi,positive
RT MahilaCongress Congress President Smt Sonia Gandhi writes PM Modi grave economic crisis facing nation She reiterated,neutral
